1 - 2024-08-02 00:58:02 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
1 - 2024-08-02 00:58:03 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
1 - 2024-08-02 00:59:07 - Created SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
2 - 2024-08-02 01:03:08 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
2 - 2024-08-02 01:03:09 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
2 - 2024-08-02 01:04:59 - Removed SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 01:08:12 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 01:08:13 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 01:09:16 - Created SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 01:11:04 - Removed SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 01:11:05 - Removed SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
