1 - 2024-08-01 23:51:46 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
1 - 2024-08-01 23:51:47 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
1 - 2024-08-01 23:52:20 - Created SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
2 - 2024-08-01 23:56:52 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
2 - 2024-08-01 23:56:53 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
2 - 2024-08-01 23:57:57 - Created SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 00:01:58 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 00:01:59 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
3 - 2024-08-02 00:02:32 - Created SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
4 - 2024-08-02 00:06:49 - Created SRv6 rule => 3: {'deviceID': '2', 'srcIP': '2001:1:2::1', 'dstIP': '2001:1:8::1', 'flow_label': '2', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
4 - 2024-08-02 00:06:50 - Created SRv6 rule => 5: {'deviceID': '2', 'srcIP': '2001:1:2::2', 'dstIP': '2001:1:8::2', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
4 - 2024-08-02 00:07:54 - Created SRv6 rule => 5: {'deviceID': '8', 'srcIP': '2001:1:8::1', 'dstIP': '2001:1:2::1', 'flow_label': '1', 'src_mask': 128, 'dst_mask': 128, 'flow_label_mask': 255}
