Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745413356.262068,,,0,
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745413356.265386,,,0,
1,h8_1,2001:1:8::1,2001:1:2::1,1,sender,30000,1745413356.253681,,,34,
1,h7_3,2001:1:7::3,2001:1:8::4,1,sender,15000,1745413356.268411,,,35,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745413356.273566,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745413356.26113,,,34,
1,h3_1,2001:1:3::1,2001:1:5::1,1,sender,30000,1745413356.278273,,,34,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745413356.268604,,,34,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745413356.263457,,,35,
1,h8_4,2001:1:8::4,2001:1:1::2,1,sender,15000,1745413356.270976,,,46,
1,h2_1,2001:1:2::1,2001:1:8::1,1,sender,15000,1745413356.252036,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745413356.267725,,,35,
1,h5_1,2001:1:5::1,2001:1:2::2,1,sender,15000,1745413356.261846,,,35,
1,h2_2,2001:1:5::1,2001:1:2::2,1,receiver,10587,1745413356.460577,181,"[85, 104, 115, 200, 258, 422, 523, 548, 559, 625, 667, 725, 833, 962, 1027, 1104, 1278, 1289, 1324, 1388, 1432, 1547, 1557, 1602, 1627, 1634, 1645, 1693, 1700, 1722, 1738, 1775, 1778, 1799, 1803, 1834, 1864, 1900, 1990, 2024, 2220, 2274, 2290, 2404, 2411, 2451, 2486, 2537, 2544, 2570, 2604, 2609, 2642, 2647, 2683, 2731, 2781, 2918, 3004, 3040, 3099, 3159, 3167, 3173, 3187, 3207, 3257, 3335, 3399, 3472, 3497, 3564, 3617, 3638, 3653, 3725, 3732, 3821, 3838, 3877, 3883, 3938, 4022, 4024, 4068, 4131, 4185, 4300, 4481, 4646, 4886, 4999, 5011, 5037, 5205, 5228, 5256, 5298, 5313, 5379, 5384, 5651, 5801, 5824, 5835, 5955, 6109, 6133, 6154, 6278, 6295, 6318, 6367, 6399, 6471, 6473, 6488, 6557, 6572, 6744, 6752, 6923, 7042, 7127, 7198, 7269, 7492, 7543, 7577, 7601, 7665, 7675, 7692, 7787, 7791, 7868, 7921, 8239, 8455, 8515, 8607, 8626, 8634, 8744, 8855, 8868, 9032, 9099, 9108, 9197, 9231, 9254, 9271, 9334, 9331, 9333, 9332, 9338, 9339, 9337, 9336, 9354, 9368, 9423, 9545, 9608, 9758, 9887, 9947, 10068, 10083, 10186, 10202, 10272, 10277, 10400, 10402, 10404, 10564, 10637, 10685]",35,28332707.158361904
1,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,10654,1745413356.5128255,376,"[63, 109, 135, 149, 152, 196, 207, 257, 259, 265, 419, 441, 523, 544, 548, 555, 578, 583, 884, 921, 988, 999, 1002, 1149, 1163, 1167, 1230, 1246, 1295, 1315, 1365, 1368, 1446, 1461, 1476, 1478, 1492, 1501, 1516, 1525, 1527, 1535, 1561, 1621, 1644, 1681, 1687, 1734, 1743, 1783, 1787, 1791, 1810, 1848, 1882, 1895, 1911, 1929, 1988, 2019, 2027, 2044, 2054, 2058, 2159, 2178, 2180, 2183, 2186, 2210, 2214, 2216, 2240, 2278, 2279, 2288, 2311, 2361, 2381, 2383, 2385, 2410, 2439, 2454, 2520, 2530, 2544, 2554, 2588, 2658, 2660, 2711, 2727, 2762, 2773, 2783, 2790, 2807, 2810, 2862, 2883, 2926, 2951, 2959, 2971, 2986, 3012, 3031, 3037, 3111, 3156, 3163, 3177, 3212, 3257, 3286, 3340, 3383, 3406, 3414, 3436, 3474, 3493, 3503, 3527, 3589, 3672, 3727, 3817, 3830, 3885, 3900, 3948, 4028, 4077, 4151, 4164, 4221, 4376, 4452, 4466, 4571, 4613, 4763, 4839, 4869, 4892, 4973, 4979, 4993, 5001, 5040, 5042, 5044, 5079, 5086, 5125, 5134, 5159, 5204, 5212, 5217, 5219, 5230, 5273, 5290, 5316, 5322, 5330, 5361, 5392, 5396, 5399, 5410, 5413, 5416, 5473, 5519, 5531, 5544, 5593, 5614, 5622, 5646, 5657, 5722, 5733, 5752, 5808, 5900, 5997, 6014, 6026, 6063, 6068, 6127, 6143, 6149, 6170, 6205, 6212, 6261, 6318, 6328, 6333, 6444, 6479, 6483, 6506, 6505, 6514, 6555, 6629, 6631, 6670, 6681, 6752, 6756, 6806, 6829, 6851, 6855, 6864, 6907, 6924, 7021, 7072, 7087, 7088, 7093, 7095, 7108, 7114, 7157, 7178, 7226, 7230, 7277, 7292, 7325, 7332, 7333, 7367, 7370, 7389, 7457, 7505, 7528, 7542, 7562, 7625, 7645, 7665, 7695, 7769, 7781, 7807, 7829, 7860, 7941, 7966, 7985, 7996, 8010, 8019, 8166, 8175, 8184, 8202, 8212, 8248, 8266, 8298, 8301, 8313, 8331, 8337, 8339, 8396, 8404, 8406, 8470, 8483, 8484, 8527, 8534, 8557, 8575, 8577, 8636, 8640, 8644, 8656, 8655, 8658, 8685, 8729, 8733, 8879, 8888, 8936, 8938, 8979, 8989, 8999, 9028, 9127, 9131, 9148, 9160, 9162, 9198, 9216, 9315, 9358, 9357, 9355, 9378, 9492, 9503, 9510, 9533, 9538, 9541, 9628, 9634, 9651, 9676, 9702, 9715, 9724, 9741, 9746, 9768, 9790, 9823, 9835, 9873, 9885, 9911, 9913, 9917, 9936, 9966, 10042, 10056, 10065, 10069, 10113, 10112, 10142, 10153, 10233, 10268, 10309, 10312, 10319, 10336, 10364, 10387, 10420, 10438, 10474, 10499, 10524, 10558, 10564, 10570, 10581, 10596, 10618, 10627, 10646, 10674, 10698, 10765]",34,28149611.734641276
