Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745370498.758361,,,0,
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745370498.774249,,,0,
1,h7_3,2001:1:7::3,2001:1:8::4,1,sender,15000,1745370498.774703,,,35,
1,h8_1,2001:1:8::1,2001:1:2::1,1,sender,30000,1745370498.772506,,,34,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745370498.772987,,,34,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745370498.771786,,,34,
1,h5_1,2001:1:5::1,2001:1:2::2,1,sender,15000,1745370498.776722,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745370498.778868,,,35,
1,h2_1,2001:1:2::1,2001:1:8::1,1,sender,15000,1745370498.782122,,,35,
1,h3_1,2001:1:3::1,2001:1:5::1,1,sender,30000,1745370498.779884,,,34,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745370498.780858,,,35,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745370498.778615,,,35,
1,h8_4,2001:1:8::4,2001:1:1::2,1,sender,15000,1745370498.793901,,,46,
