Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745358842.274839,,,0,
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745358842.28915,,,0,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745358842.279044,,,34,
1,h7_3,2001:1:7::3,2001:1:8::4,1,sender,15000,1745358842.289898,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745358842.293373,,,35,
1,h5_1,2001:1:5::1,2001:1:2::2,1,sender,15000,1745358842.293963,,,35,
1,h3_1,2001:1:3::1,2001:1:5::1,1,sender,30000,1745358842.294809,,,34,
1,h8_1,2001:1:8::1,2001:1:2::1,1,sender,30000,1745358842.288821,,,34,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745358842.288668,,,35,
1,h8_4,2001:1:8::4,2001:1:1::2,1,sender,15000,1745358842.299669,,,46,
1,h2_1,2001:1:2::1,2001:1:8::1,1,sender,15000,1745358842.294507,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745358842.290553,,,34,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745358842.299121,,,35,
1,h1_2,2001:1:8::4,2001:1:1::2,1,receiver,11893,1745358842.4362047,64,"[144, 225, 276, 704, 863, 937, 1040, 1115, 1456, 1460, 1615, 1677, 1823, 1850, 1925, 1930, 2117, 2231, 2387, 2815, 2841, 2929, 2964, 3037, 3184, 3872, 4023, 4039, 4070, 5067, 6013, 6357, 6626, 6783, 6814, 6889, 7105, 7146, 7254, 7537, 7743, 8007, 8303, 8914, 8971, 9201, 9239, 9360, 9550, 9655, 9820, 9865, 9932, 9997, 10175, 10181, 10291, 10425, 10563, 10798, 10815, 11228, 11262, 11805]",46,25225259.533424087
1,h8_4,2001:1:7::3,2001:1:8::4,1,receiver,11933,1745358842.4139953,30,"[194, 351, 437, 883, 1221, 1226, 1267, 1339, 1508, 1614, 1631, 2063, 2288, 3212, 3629, 4577, 4590, 4821, 4947, 5432, 5620, 6103, 6825, 7502, 7946, 8035, 8066, 8869, 8929, 11697]",35,25134805.061387084
