Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745406763.771355,,,0,
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745406763.769373,,,0,
1,h7_3,2001:1:7::3,2001:1:8::4,1,sender,15000,1745406763.773689,,,35,
1,h8_1,2001:1:8::1,2001:1:2::1,1,sender,30000,1745406763.753123,,,34,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745406763.770179,,,35,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745406763.776352,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745406763.771081,,,34,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745406763.75661,,,35,
1,h5_1,2001:1:5::1,2001:1:2::2,1,sender,15000,1745406763.774573,,,35,
1,h3_1,2001:1:3::1,2001:1:5::1,1,sender,30000,1745406763.753258,,,34,
1,h2_1,2001:1:2::1,2001:1:8::1,1,sender,15000,1745406763.782002,,,35,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745406763.770305,,,34,
1,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,11489,1745406763.8779564,29,"[487, 531, 706, 1127, 1370, 1845, 2089, 2635, 2665, 2733, 2855, 3058, 3622, 4008, 4249, 4484, 5463, 5727, 7235, 7335, 8376, 8569, 8975, 9376, 9631, 9961, 10365, 10796, 11201]",35,26089111.18917035
1,h2_2,2001:1:5::1,2001:1:2::2,1,receiver,11474,1745406763.918925,197,"[62, 298, 362, 403, 409, 428, 478, 517, 565, 629, 644, 654, 674, 843, 871, 909, 912, 915, 920, 1259, 1315, 1332, 1369, 1464, 1495, 1511, 1572, 1695, 1777, 1779, 1881, 1940, 1964, 1972, 2047, 2079, 2150, 2158, 2209, 2211, 2271, 2290, 2292, 2352, 2377, 2379, 2439, 2461, 2480, 2523, 2570, 2696, 2710, 2728, 2771, 2814, 2834, 2870, 2935, 3053, 3096, 3128, 3234, 3252, 3264, 3319, 3327, 3376, 3451, 3523, 3670, 3743, 3750, 3824, 3847, 3884, 4051, 4154, 4187, 4244, 4455, 4463, 4609, 4675, 4717, 4771, 4777, 4779, 4805, 4924, 4929, 4966, 5057, 5080, 5116, 5229, 5276, 5287, 5303, 5335, 5457, 5625, 5640, 5644, 5698, 5739, 5767, 5889, 6196, 6199, 6222, 6332, 6462, 6600, 6624, 6631, 6800, 6860, 6875, 6885, 6901, 6992, 7021, 7082, 7192, 7196, 7337, 7342, 7415, 7422, 7472, 7548, 7593, 7740, 7811, 7816, 8021, 8210, 8249, 8383, 8386, 8430, 8469, 8485, 8641, 8669, 8703, 8726, 8737, 8804, 8828, 8837, 8896, 8990, 9015, 9019, 9018, 9017, 9157, 9162, 9317, 9448, 9455, 9471, 9678, 9726, 9767, 9819, 9822, 9827, 9957, 9982, 10024, 10079, 10246, 10269, 10343, 10487, 10590, 10633, 10756, 10777, 10901, 10946, 10977, 11062, 11077, 11081, 11120, 11127, 11348, 11362, 11376, 11418, 11473, 11547, 11614]",35,26138032.71073714
1,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,11560,1745406763.8778467,29,"[504, 761, 897, 1667, 2395, 2556, 2665, 2826, 2864, 3068, 3437, 3815, 4062, 5726, 5831, 6757, 6847, 7229, 7376, 8020, 8828, 8934, 9057, 9265, 9612, 9661, 9877, 10045, 10938]",34,25928689.96738971
