Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745367022.510568,,,0,
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745367022.511937,,,0,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745367022.528172,,,34,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745367022.524979,,,35,
1,h7_3,2001:1:7::3,2001:1:8::4,1,sender,15000,1745367022.536429,,,35,
1,h3_1,2001:1:3::1,2001:1:5::1,1,sender,30000,1745367022.525371,,,34,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745367022.527388,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745367022.537582,,,34,
1,h5_1,2001:1:5::1,2001:1:2::2,1,sender,15000,1745367022.525694,,,35,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745367022.530095,,,35,
1,h8_1,2001:1:8::1,2001:1:2::1,1,sender,30000,1745367022.527267,,,34,
1,h2_1,2001:1:2::1,2001:1:8::1,1,sender,15000,1745367022.524281,,,35,
1,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,11721,1745367022.6361012,19,"[397, 1706, 2179, 2185, 2335, 2456, 4177, 4240, 4262, 4267, 4333, 4408, 4506, 4507, 4513, 7305, 7307, 9950, 11324]",35,25589914.94271116
1,h8_1,2001:1:2::1,2001:1:8::1,1,receiver,11689,1745367022.715396,363,"[3, 133, 147, 170, 219, 225, 248, 283, 307, 350, 404, 410, 441, 462, 463, 470, 484, 512, 521, 548, 563, 565, 569, 572, 580, 592, 615, 618, 624, 625, 632, 671, 714, 760, 766, 785, 834, 887, 893, 909, 917, 946, 966, 975, 979, 1015, 1023, 1022, 1053, 1081, 1096, 1133, 1147, 1163, 1190, 1220, 1244, 1292, 1325, 1334, 1344, 1369, 1377, 1382, 1387, 1416, 1447, 1471, 1495, 1508, 1510, 1530, 1538, 1580, 1592, 1624, 1647, 1678, 1690, 1703, 1719, 1764, 1768, 1796, 1822, 1845, 1873, 1937, 2010, 2019, 2062, 2106, 2113, 2127, 2142, 2160, 2169, 2213, 2257, 2268, 2290, 2298, 2311, 2313, 2314, 2327, 2341, 2380, 2411, 2418, 2513, 2552, 2556, 2561, 2576, 2629, 2678, 2709, 2741, 2784, 2824, 2888, 2925, 2939, 2974, 2995, 3065, 3142, 3161, 3166, 3223, 3305, 3314, 3338, 3366, 3381, 3385, 3430, 3471, 3481, 3493, 3562, 3673, 3685, 3699, 3718, 3852, 3899, 3908, 3911, 3928, 3941, 3965, 4034, 4099, 4113, 4181, 4183, 4188, 4189, 4195, 4255, 4297, 4364, 4379, 4458, 4475, 4478, 4523, 4529, 4540, 4683, 4702, 4757, 4822, 4831, 4849, 4858, 4881, 4919, 4975, 5000, 5030, 5068, 5168, 5174, 5188, 5196, 5222, 5235, 5294, 5328, 5363, 5437, 5463, 5483, 5491, 5513, 5523, 5542, 5692, 5701, 5768, 5780, 5855, 5901, 5903, 5931, 5933, 5950, 5983, 6014, 6025, 6032, 6184, 6369, 6374, 6414, 6451, 6593, 6626, 6641, 6645, 6719, 6743, 6758, 6766, 6786, 6803, 6852, 6856, 6875, 6920, 6965, 6984, 6988, 7001, 7079, 7098, 7146, 7148, 7191, 7310, 7317, 7343, 7342, 7368, 7369, 7459, 7528, 7609, 7614, 7653, 7660, 7671, 7678, 7681, 7685, 7725, 7730, 7749, 7773, 7795, 7812, 7870, 7874, 7876, 7942, 7971, 8028, 8076, 8197, 8203, 8246, 8249, 8250, 8308, 8325, 8370, 8397, 8419, 8435, 8451, 8480, 8559, 8570, 8581, 8595, 8623, 8627, 8729, 8743, 8771, 8805, 8851, 8882, 8940, 9000, 9045, 9074, 9103, 9113, 9125, 9191, 9250, 9254, 9315, 9456, 9609, 9645, 9650, 9673, 9680, 9737, 9745, 9780, 9825, 9859, 10029, 10032, 10037, 10172, 10276, 10278, 10329, 10354, 10356, 10419, 10422, 10493, 10504, 10522, 10532, 10632, 10784, 10809, 10830, 10865, 10912, 10923, 10970, 11007, 11187, 11242, 11253, 11274, 11350, 11364, 11369, 11420, 11424, 11443, 11459, 11462, 11490, 11517, 11522, 11551, 11589, 11608, 11683, 11689, 11822]",35,25679815.926128767
