Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745355366.203362,,,0,
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745355366.211459,,,0,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745355366.202248,,,34,
1,h2_1,2001:1:2::1,2001:1:8::1,1,sender,15000,1745355366.206644,,,35,
1,h8_1,2001:1:8::1,2001:1:2::1,1,sender,30000,1745355366.207638,,,34,
1,h5_1,2001:1:5::1,2001:1:2::2,1,sender,15000,1745355366.207489,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745355366.205184,,,34,
1,h3_1,2001:1:3::1,2001:1:5::1,1,sender,30000,1745355366.218218,,,34,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745355366.211748,,,35,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745355366.208876,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745355366.206071,,,35,
1,h7_3,2001:1:7::3,2001:1:8::4,1,sender,15000,1745355366.211991,,,35,
