Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745403150.384199,,,0,
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745403150.371973,,,0,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745403150.368833,,,34,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745403150.376826,,,35,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745403150.371372,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745403150.374678,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745403150.383104,,,34,
1,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,8612,1745403150.5172632,93,"[236, 250, 314, 568, 670, 727, 751, 821, 844, 879, 884, 888, 920, 933, 1055, 1062, 1063, 1081, 1082, 1100, 1102, 1115, 1157, 1156, 1159, 1163, 1192, 1206, 1209, 1207, 1244, 1247, 1246, 1360, 1393, 1407, 1481, 1505, 1543, 1696, 1804, 1836, 1864, 1909, 2010, 2052, 2084, 2104, 2129, 2235, 2267, 2312, 2338, 2366, 2390, 2420, 2426, 2436, 2498, 2520, 2523, 2546, 2709, 2767, 2792, 2891, 2984, 3071, 3083, 3256, 3514, 3642, 4489, 4496, 4576, 4668, 4783, 5228, 5243, 5596, 5831, 5975, 6934, 6950, 7014, 7151, 7586, 7699, 7976, 8262, 8280, 8345, 8401]",34,34834437.574058086
1,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,8654,1745403150.4813426,7,"[878, 1050, 1166, 1223, 1228, 4215, 8287]",34,34669698.62087832
1,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2970,1745403150.4829843,5,"[880, 1087, 1204, 1231, 1742]",0,33930425.13015693
1,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,8637,1745403150.533036,45,"[176, 319, 371, 460, 690, 841, 883, 888, 1021, 1060, 1111, 1107, 1110, 1109, 1113, 1114, 1127, 1156, 1214, 1216, 1219, 1235, 1239, 1241, 1240, 1243, 1246, 1247, 1398, 1606, 1647, 1697, 2113, 2744, 3312, 3551, 3596, 3701, 3943, 4025, 4895, 5990, 7780, 8278, 8280]",35,34730948.41030796
1,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,8603,1745403150.568579,94,"[344, 457, 494, 571, 626, 701, 704, 732, 814, 859, 861, 869, 910, 927, 1042, 1045, 1043, 1048, 1047, 1083, 1086, 1114, 1142, 1163, 1215, 1258, 1279, 1327, 1351, 1414, 1436, 1643, 1861, 1887, 1905, 1974, 2039, 2065, 2109, 2170, 2194, 2294, 2357, 2401, 2417, 2421, 2488, 2549, 2612, 2643, 2662, 2699, 2746, 2753, 2800, 2879, 2985, 2988, 3044, 3264, 3323, 3419, 3678, 4016, 4297, 4377, 4402, 4657, 4741, 5000, 5013, 5047, 5104, 5279, 6327, 6424, 6781, 7065, 7129, 7268, 7385, 7396, 7515, 7584, 7986, 7996, 8088, 8128, 8274, 8357, 8363, 8464, 8591, 8657]",35,34867035.210527495
1,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,8610,1745403150.4982808,11,"[497, 883, 1056, 1101, 1104, 1204, 1206, 1208, 1210, 4837, 8259]",35,34839030.093017176
1,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2962,1745403150.5058084,12,"[563, 882, 1051, 1073, 1108, 1131, 1132, 1172, 1193, 1215, 1241, 2290]",0,34091799.10303048
2,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745403496.489755,,,0,
2,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745403496.49478,,,0,
2,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745403496.489449,,,35,
2,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745403496.501417,,,34,
2,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745403496.50046,,,35,
2,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745403496.489488,,,34,
2,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745403496.501024,,,35,
2,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9039,1745403496.6291225,105,"[384, 387, 488, 487, 623, 675, 711, 788, 829, 842, 845, 858, 1138, 1197, 1212, 1234, 1257, 1298, 1309, 1325, 1413, 1415, 1511, 1550, 1551, 1590, 1670, 1678, 1744, 1746, 1924, 1991, 2014, 2024, 2119, 2122, 2126, 2243, 2255, 2309, 2335, 2338, 2393, 2445, 2481, 2488, 2522, 2527, 2530, 2575, 2596, 2599, 2623, 2699, 2805, 2807, 2824, 2826, 2889, 2895, 2929, 3210, 3383, 3640, 3670, 3697, 3731, 4479, 4608, 4793, 4824, 4838, 4939, 5096, 5146, 5171, 5183, 5313, 5451, 5511, 5521, 5685, 5963, 5989, 6021, 6053, 6147, 6425, 6460, 6682, 6776, 7029, 7121, 7173, 7275, 7374, 7483, 7550, 7750, 7856, 8044, 8410, 8448, 8859, 9037]",34,33192561.12353708
2,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9020,1745403496.6753,95,"[129, 255, 373, 383, 385, 488, 556, 600, 644, 706, 832, 852, 865, 1017, 1058, 1066, 1081, 1100, 1102, 1286, 1348, 1438, 1831, 1885, 2027, 2043, 2085, 2107, 2112, 2113, 2160, 2192, 2218, 2231, 2243, 2321, 2346, 2347, 2465, 2510, 2513, 2516, 2530, 2578, 2704, 2713, 2794, 2841, 2858, 2872, 2901, 2971, 3111, 3214, 3274, 3746, 3978, 4263, 4270, 4430, 4550, 4554, 4567, 4608, 4933, 5094, 5113, 5132, 5136, 5420, 5470, 5502, 5536, 5612, 5642, 5690, 5864, 6492, 6543, 6839, 6869, 7231, 7303, 7322, 7704, 7760, 7888, 8330, 8384, 8485, 8591, 8872, 8944, 8986, 9071]",35,33254851.470236856
2,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9106,1745403496.6034575,9,"[1256, 1557, 2530, 2643, 3676, 4243, 4494, 4949, 5413]",34,32942531.922087263
2,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9043,1745403496.642442,37,"[143, 391, 479, 699, 707, 749, 862, 1159, 1316, 1490, 1514, 1549, 1672, 1680, 1818, 1989, 2121, 2485, 2523, 2527, 2556, 2649, 3069, 3979, 4085, 4493, 4946, 5454, 6193, 6249, 6401, 6634, 7138, 7156, 7432, 7480, 8011]",35,33172646.91662584
2,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9015,1745403496.6033368,4,"[1851, 2494, 2644, 3642]",35,33276269.43984966
2,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2977,1745403496.593888,1,[2108],0,28712837.416572314
2,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2960,1745403496.6191025,16,"[712, 986, 1052, 1125, 1235, 1548, 1693, 1923, 2040, 2126, 2127, 2130, 2427, 2531, 2576, 2992]",0,28697139.669109035
3,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745403842.597155,,,0,
3,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745403842.591519,,,0,
3,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745403842.588551,,,35,
3,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745403842.585139,,,35,
3,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745403842.588432,,,35,
3,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745403842.598441,,,34,
3,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745403842.587234,,,34,
