Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745363546.526728,,,0,
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745363546.536626,,,0,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745363546.527175,,,34,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745363546.534953,,,35,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745363546.526457,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745363546.530574,,,35,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745363546.530961,,,34,
1,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,8353,1745363546.6410534,22,"[3761, 7697, 7776, 7792, 7795, 7799, 7801, 7842, 7883, 7903, 7911, 7929, 7977, 8028, 8042, 8045, 8064, 8153, 8155, 8243, 8394, 8397]",34,35912053.42207258
1,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,8352,1745363546.6371596,29,"[2197, 2261, 2800, 2905, 6929, 7662, 7728, 7765, 7819, 7874, 7878, 7899, 7951, 7955, 7962, 8032, 8049, 8070, 8110, 8112, 8142, 8253, 8294, 8332, 8334, 8354, 8428, 8435, 8455]",35,35916744.149735995
1,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,8365,1745363546.6633651,43,"[383, 2036, 2454, 2458, 4233, 4646, 4724, 7701, 7705, 7708, 7712, 7714, 7716, 7718, 7768, 7771, 7772, 7809, 7828, 7848, 7850, 7871, 7874, 7892, 7944, 8038, 8036, 8040, 8115, 8131, 8135, 8137, 8244, 8249, 8250, 8256, 8276, 8282, 8321, 8320, 8386, 8442, 8443]",34,35866206.80244131
1,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,8338,1745363546.7201445,133,"[68, 80, 97, 125, 298, 408, 429, 520, 523, 535, 670, 766, 900, 948, 1042, 1154, 1268, 1318, 1481, 1687, 1721, 1728, 1799, 1836, 1887, 1916, 1924, 2063, 2087, 2115, 2121, 2124, 2130, 2134, 2163, 2198, 2232, 2247, 2282, 2378, 2488, 2595, 2625, 2649, 2651, 2911, 2941, 2960, 3226, 3295, 3337, 3813, 3819, 4046, 4579, 4884, 5047, 5052, 5284, 5289, 5351, 5361, 5509, 5563, 5574, 5945, 5950, 6022, 6118, 6234, 6276, 6453, 6581, 6857, 6890, 6942, 7019, 7499, 7576, 7622, 7675, 7731, 7734, 7732, 7752, 7751, 7756, 7776, 7777, 7864, 7866, 7868, 7886, 7885, 7889, 7912, 8028, 8044, 8045, 8043, 8064, 8063, 8240, 8244, 8245, 8264, 8283, 8286, 8288, 8293, 8292, 8296, 8297, 8329, 8363, 8380, 8383, 8401, 8417, 8418, 8419, 8423, 8425, 8428, 8427, 8426, 8447, 8450, 8449, 8453, 8452, 8454, 8455]",35,35974686.938985966
1,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,8293,1745363546.6780417,59,"[43, 334, 608, 660, 711, 827, 1015, 1345, 1364, 1466, 1647, 1682, 1759, 1807, 1948, 2167, 2441, 2454, 2907, 3627, 4422, 4430, 6225, 6901, 7280, 7634, 7637, 7638, 7640, 7678, 7681, 7731, 7735, 7733, 7734, 7737, 7752, 7808, 7807, 7845, 7846, 7879, 7914, 7934, 7974, 7977, 7991, 8027, 8030, 8029, 8031, 8071, 8085, 8151, 8245, 8333, 8363, 8365, 8364]",35,36174078.492509894
1,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2958,1745363546.626842,1,[1399],0,28686423.814320903
1,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2962,1745363546.6520567,6,"[964, 2398, 2406, 2538, 2950, 2975]",0,28283619.301130768
2,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745363892.631677,,,0,
2,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745363892.648381,,,0,
2,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745363892.633767,,,34,
2,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745363892.647479,,,35,
2,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745363892.647728,,,35,
2,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745363892.643397,,,34,
2,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745363892.644526,,,35,
2,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9154,1745363892.7484012,12,"[562, 766, 768, 1174, 1752, 1945, 2325, 2328, 2329, 2854, 2986, 8528]",34,32792220.89285297
