Iteration,Host,IP Source,IP Destination,Flow Label,Is,Number,Timestamp (seconds-Unix Epoch),Nº pkt out of order,Out of order packets,DSCP,Avg Jitter (Nanoseconds)
1,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745351890.251443,,,0,
1,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745351890.24958,,,0,
1,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745351890.258827,,,35,
1,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745351890.258273,,,35,
1,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745351890.248644,,,34,
1,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745351890.252614,,,35,
1,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745351890.255169,,,34,
1,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9212,1745351890.3727841,6,"[1517, 2495, 2599, 4087, 4942, 7544]",34,32564905.12148904
1,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9122,1745351890.3662841,7,"[1006, 1476, 2314, 6339, 6421, 6964, 8936]",35,32885740.969531555
1,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2961,1745351890.3648596,2,"[1228, 2549]",0,29813006.696407937
1,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2966,1745351890.3382232,0,[],0,29798427.14578496
1,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9242,1745351890.3544257,4,"[1475, 1922, 4329, 7599]",34,32460206.567763794
1,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9078,1745351890.348716,1,[2126],35,33046446.857171007
1,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9184,1745351890.422428,80,"[331, 379, 381, 466, 506, 514, 572, 714, 813, 834, 954, 971, 1404, 1439, 1444, 1468, 1515, 1615, 1618, 1773, 1840, 1878, 1884, 1974, 1981, 2029, 2061, 2084, 2113, 2160, 2228, 2356, 2361, 2370, 2406, 2480, 2526, 2546, 2621, 2665, 2704, 2835, 2897, 2970, 2976, 3149, 3202, 3468, 3529, 4043, 4166, 4294, 4298, 4538, 4591, 4625, 4763, 5076, 5260, 5791, 5997, 6225, 6365, 6502, 6609, 6909, 7048, 7181, 7219, 7227, 7737, 7809, 8413, 8425, 8542, 8681, 8807, 8953, 9145, 9199]",35,32664232.111766238
2,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745352236.28935,,,0,
2,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745352236.287718,,,0,
2,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745352236.292181,,,34,
2,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745352236.289511,,,34,
2,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745352236.289931,,,35,
2,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745352236.317762,,,35,
2,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745352236.303131,,,35,
2,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9488,1745352236.4272537,5,"[1147, 3065, 3683, 4462, 6835]",35,31621410.437619403
2,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9518,1745352236.4101934,8,"[757, 1462, 2045, 2704, 2716, 2779, 3078, 3123]",34,31515987.13632933
2,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9442,1745352236.4136074,6,"[150, 725, 1504, 1663, 3055, 9003]",35,31769325.939736843
2,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9496,1745352236.4435105,10,"[164, 743, 945, 2535, 3074, 3076, 3339, 5965, 6089, 9207]",34,31587182.646954767
2,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9489,1745352236.4849863,113,"[64, 243, 287, 315, 349, 365, 401, 413, 428, 480, 498, 517, 582, 636, 656, 670, 693, 730, 764, 899, 967, 984, 992, 1003, 1028, 1060, 1225, 1232, 1243, 1552, 1632, 1778, 1820, 1830, 1914, 1993, 1998, 2115, 2129, 2270, 2292, 2342, 2414, 2454, 2549, 2583, 2587, 2665, 2707, 2712, 2714, 2717, 2811, 2834, 2865, 2933, 3081, 3139, 3268, 3273, 3483, 3578, 3712, 4050, 4459, 4480, 4502, 4600, 4870, 4892, 5054, 5076, 5150, 5251, 5291, 5337, 5382, 5410, 5932, 6008, 6097, 6217, 6231, 6248, 6322, 6399, 6482, 6543, 6638, 6692, 6703, 6802, 6973, 7072, 7205, 7261, 7298, 7463, 7822, 8042, 8086, 8338, 8490, 8531, 8723, 8730, 8772, 9028, 9109, 9171, 9194, 9204, 9513]",35,31610758.164645292
2,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2967,1745352236.398723,0,[],0,27287364.608718354
2,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2960,1745352236.424098,5,"[1227, 1321, 2137, 2440, 2716]",0,27315181.171571884
3,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745352582.411309,,,0,
3,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745352582.409908,,,0,
3,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745352582.411761,,,34,
3,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745352582.424335,,,35,
3,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745352582.423451,,,35,
3,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745352582.423352,,,35,
3,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745352582.429409,,,34,
3,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9481,1745352582.5659149,3,"[346, 2161, 2909]",34,31634458.999143038
3,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9474,1745352582.6412303,90,"[24, 237, 302, 329, 379, 582, 634, 636, 680, 686, 806, 862, 907, 944, 973, 1017, 1037, 1039, 1044, 1056, 1059, 1111, 1121, 1149, 1157, 1212, 1318, 1387, 1492, 1530, 1590, 1707, 1808, 2004, 2076, 2253, 2258, 2384, 2394, 2419, 2437, 2487, 2577, 2608, 2661, 2774, 3602, 3978, 4028, 4071, 4355, 4446, 4457, 4462, 4545, 4975, 4996, 5132, 5148, 5173, 5345, 5871, 5898, 5969, 6214, 6418, 6442, 6566, 6706, 6764, 6977, 6990, 7068, 7089, 7134, 7214, 7221, 7719, 7908, 8051, 8057, 8144, 8187, 8331, 8381, 8813, 8945, 8963, 9027, 9290]",35,31659370.01025199
3,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9490,1745352582.5817242,8,"[563, 1599, 1669, 1928, 2820, 2931, 6596, 8515]",35,31606112.918311108
3,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9447,1745352582.587405,8,"[519, 1644, 2047, 2137, 2265, 2775, 8458, 9153]",34,31751217.533699937
3,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9464,1745352582.568438,2,"[1795, 8726]",35,31692468.077070378
3,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2962,1745352582.5535622,1,[1499],0,27653647.467222348
3,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2947,1745352582.576382,1,[310],0,27699450.94170391
4,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745352928.528771,,,0,
4,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745352928.539144,,,0,
4,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745352928.552306,,,35,
4,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745352928.532196,,,35,
4,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745352928.537807,,,35,
4,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745352928.52722,,,34,
4,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745352928.532023,,,34,
4,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9651,1745352928.7832072,4,"[1347, 3330, 5355, 8528]",34,31079214.133817103
4,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2972,1745352928.7743938,0,[],0,26510864.05501232
4,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9551,1745352928.728161,8,"[373, 696, 1424, 1717, 2941, 4629, 5291, 5292]",35,31396899.66916113
4,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9558,1745352928.7843843,125,"[12, 18, 17, 147, 151, 228, 278, 394, 410, 485, 491, 501, 544, 600, 610, 638, 666, 713, 735, 742, 831, 833, 879, 896, 900, 908, 974, 983, 990, 1005, 1020, 1080, 1096, 1140, 1172, 1226, 1249, 1268, 1348, 1391, 1397, 1432, 1458, 1519, 1544, 1717, 1728, 1832, 1843, 1888, 1914, 1932, 2052, 2082, 2108, 2250, 2267, 2293, 2299, 2329, 2363, 2390, 2440, 2591, 2610, 2616, 2636, 2697, 2778, 2803, 2832, 2849, 2866, 2975, 2978, 2988, 3172, 3329, 3391, 3427, 3453, 3516, 3602, 3786, 4106, 4146, 4777, 4919, 5013, 5072, 5224, 5335, 5334, 5366, 5426, 5566, 5627, 5783, 6091, 6107, 6356, 6510, 6683, 6706, 6940, 6990, 7003, 7225, 7273, 7539, 7559, 7829, 7958, 8205, 8477, 8495, 8591, 8721, 8911, 9149, 9381, 9422, 9495, 9531, 9607]",35,31374174.272896823
4,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9589,1745352928.7895088,6,"[1015, 1711, 2611, 4383, 5307, 8214]",35,31255077.502690006
4,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2955,1745352928.8010597,3,"[863, 1081, 1724]",0,26521209.048740767
4,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9579,1745352928.7454984,15,"[245, 1134, 2081, 2257, 2773, 2943, 3261, 3341, 4547, 4731, 5341, 5340, 7509, 7846, 8557]",34,31313497.769532718
5,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745353274.614522,,,0,
5,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745353274.613383,,,0,
5,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745353274.61266,,,34,
5,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745353274.621274,,,34,
5,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745353274.625426,,,35,
5,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745353274.64045,,,35,
5,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745353274.629655,,,35,
5,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9545,1745353274.7351656,4,"[314, 444, 6497, 7482]",35,31432075.68532825
5,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9485,1745353274.752,6,"[688, 960, 1309, 1407, 1946, 5494]",35,31624933.31217422
5,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9567,1745353274.804135,122,"[39, 48, 61, 74, 87, 120, 164, 263, 320, 323, 340, 366, 460, 609, 625, 640, 649, 817, 838, 870, 965, 984, 1020, 1069, 1092, 1204, 1208, 1216, 1358, 1368, 1400, 1422, 1442, 1512, 1530, 1655, 1727, 1735, 1742, 1790, 1794, 1818, 1906, 1953, 1977, 2020, 2045, 2110, 2147, 2191, 2269, 2367, 2381, 2388, 2449, 2491, 2554, 2556, 2574, 2618, 2627, 2628, 2663, 2704, 2712, 2734, 2829, 2837, 2839, 2938, 2957, 2967, 3020, 3105, 3131, 3268, 3309, 3365, 3631, 3791, 4015, 4245, 4267, 4418, 4512, 4605, 4881, 4936, 4974, 5554, 5578, 5586, 5673, 5982, 5995, 6371, 6821, 7026, 7094, 7218, 7221, 7245, 7319, 7438, 7611, 7655, 7662, 7736, 7816, 7819, 7860, 7947, 8247, 8284, 8890, 9041, 9150, 9287, 9476, 9491, 9620, 9675]",35,31355400.37552889
5,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9590,1745353274.7610478,10,"[1325, 2374, 2478, 2502, 2718, 2961, 5549, 6559, 7547, 7548]",34,31278272.98777941
5,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9596,1745353274.7373545,6,"[4895, 5546, 5970, 6542, 7533, 7863]",34,31259670.63621563
5,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2958,1745353274.7434216,3,"[320, 1715, 1991]",0,26971310.11516681
5,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2968,1745353274.7189384,1,[2152],0,26540627.457060903
6,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745353620.732359,,,0,
6,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745353620.733666,,,0,
6,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745353620.730077,,,34,
6,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745353620.738595,,,34,
6,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745353620.741287,,,35,
6,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745353620.752846,,,35,
6,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745353620.743688,,,35,
6,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9507,1745353620.8744695,16,"[191, 354, 634, 671, 804, 1201, 1232, 1525, 2691, 3292, 3881, 4332, 6934, 8175, 8369, 9437]",34,31551727.351297673
6,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9474,1745353620.8622763,7,"[541, 961, 1373, 3236, 5475, 5856, 9284]",35,31663652.686396156
6,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9557,1745353620.8489497,7,"[114, 539, 2307, 2938, 6267, 8395, 9668]",34,31388425.921824995
6,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9493,1745353620.850269,1,[201],35,31605584.62168061
6,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9540,1745353620.9119565,108,"[235, 308, 402, 423, 430, 432, 469, 475, 533, 549, 569, 694, 791, 870, 882, 906, 909, 957, 978, 1026, 1034, 1045, 1086, 1161, 1234, 1248, 1252, 1295, 1321, 1364, 1373, 1459, 1483, 1490, 1522, 1575, 1593, 1625, 1786, 1823, 1837, 1870, 1875, 1963, 2081, 2087, 2097, 2282, 2291, 2296, 2303, 2389, 2392, 2422, 2424, 2557, 2565, 2702, 2748, 2878, 2969, 3041, 3177, 3252, 3423, 3528, 4008, 4215, 4356, 4672, 5122, 5261, 5510, 5520, 6116, 6259, 6418, 6489, 6794, 6941, 7085, 7101, 7122, 7235, 7300, 7425, 7424, 7486, 7758, 7767, 7904, 7945, 8121, 8130, 8254, 8295, 8379, 8537, 8542, 9031, 9201, 9216, 9229, 9361, 9363, 9365, 9369, 9654]",35,31445473.694951292
6,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2960,1745353620.859728,2,"[825, 1126]",0,26528493.053204294
6,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2968,1745353620.8342083,1,[2516],0,26431863.038045056
7,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745353966.807504,,,0,
7,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745353966.808446,,,0,
7,h1_2,2001:1:1::2,2001:1:7::1,1,sender,30000,1745353966.809618,,,34,
7,h5_1,2001:1:5::1,2001:1:7::2,1,sender,30000,1745353966.812941,,,34,
7,h2_2,2001:1:2::2,2001:1:8::2,1,sender,15000,1745353966.806356,,,35,
7,h3_1,2001:1:3::1,2001:1:7::3,1,sender,15000,1745353966.819424,,,35,
7,h3_1,2001:1:3::1,2001:1:8::3,1,sender,15000,1745353966.81165,,,35,
7,h3_1,2001:1:2::1,2001:1:3::1,1,receiver,2963,1745353966.9932508,7,"[259, 947, 1090, 1107, 1109, 2519, 2932]",0,26420144.748333707
7,h7_2,2001:1:5::1,2001:1:7::2,1,receiver,9628,1745353967.0053303,12,"[893, 892, 1098, 1102, 1302, 1763, 1826, 1893, 2140, 3106, 3105, 3394]",34,31148646.325553942
7,h7_1,2001:1:1::2,2001:1:7::1,1,receiver,9595,1745353967.030773,25,"[521, 881, 885, 884, 1086, 1087, 1088, 1196, 1645, 1876, 1875, 2133, 2304, 2556, 2906, 2973, 3084, 3083, 3694, 5324, 5653, 6679, 8196, 8453, 9474]",34,31254138.49429578
7,h8_2,2001:1:2::2,2001:1:8::2,1,receiver,9595,1745353967.002033,118,"[111, 128, 148, 196, 248, 346, 405, 432, 458, 583, 628, 703, 705, 782, 810, 864, 873, 877, 923, 1066, 1076, 1075, 1082, 1127, 1132, 1136, 1247, 1250, 1263, 1441, 1468, 1476, 1564, 1585, 1644, 1748, 1793, 1802, 1816, 1881, 1886, 1887, 1884, 1914, 1918, 1939, 2177, 2201, 2273, 2309, 2314, 2313, 2419, 2429, 2489, 2500, 2549, 2551, 2852, 2886, 2890, 2892, 2951, 2967, 2969, 2974, 3084, 3102, 3218, 3500, 3553, 3707, 3788, 3800, 3878, 3971, 4026, 4056, 4089, 4128, 4281, 4356, 4377, 4421, 4680, 4717, 4789, 4888, 5332, 5418, 5596, 5641, 5696, 5727, 5742, 6031, 6304, 6497, 6603, 6857, 6881, 6987, 7117, 7229, 7655, 7679, 7779, 7966, 8092, 8272, 8400, 8446, 8474, 8522, 9076, 9181, 9475, 9578]",35,31262804.233139575
7,h7_3,2001:1:3::1,2001:1:7::3,1,receiver,9549,1745353967.005899,15,"[354, 883, 1092, 1093, 1142, 1197, 1549, 1676, 1879, 2296, 2298, 2899, 3064, 3668, 5759]",35,31406624.502680816
7,h8_3,2001:1:3::1,2001:1:8::3,1,receiver,9558,1745353967.0202842,9,"[796, 865, 879, 1082, 1081, 1872, 2347, 3756, 8419]",35,31381626.911406722
7,h1_1,2001:1:8::1,2001:1:1::1,1,receiver,2958,1745353967.023323,15,"[885, 884, 889, 1001, 1098, 1097, 1096, 1684, 1892, 1894, 1898, 1900, 2252, 2320, 2925]",0,26614581.756772332
8,h2_1,2001:1:2::1,2001:1:3::1,1,sender,3000,1745354312.892378,,,0,
8,h8_1,2001:1:8::1,2001:1:1::1,1,sender,3000,1745354312.889179,,,0,
